id,name,link
Barry,Barry Drive 7-11,https://goo.gl/maps/HjWcaZW7WoN2
Copland,Copland Building,https://goo.gl/maps/YMjirg8bUDS2
Coombs,Coombs Lecture Theatre,https://goo.gl/maps/zzP7KwdnTt99urrg9
Computer,Computer Science & Information Technology Building,https://goo.gl/maps/H9ue4T2UjrJ2
Engineering,ANU Engineering Building,https://goo.gl/maps/BYnXRdnLqrwtvu419
Hanna,Hanna Neumann Building,https://goo.gl/maps/pr8NiqneL7H2
Kambri,Cultural Centre Kambri,https://goo.gl/maps/f5EUxCfeDHKuXTJA9
Llewellyn,Llewellyn Hall,https://goo.gl/maps/HtRNgSMjnq62
Marie,Marie Reay Teaching Building 155,https://goo.gl/maps/5Bdo8ekGS622
Online,Online,
Psychology,ANU Research School of Psychology,https://goo.gl/maps/8PiDPjYQbTNNG2U27
Physics,DNF Dunbar Physics Lecture Theatre,https://goo.gl/maps/YWYNMp2Kkaw
Robertson,RN Robertson Building,https://goo.gl/maps/EtjZFd4QoJ32
Brown,D.A. Brown Building,https://goo.gl/maps/Hnwy2JpjfyrFKPZ76
